2018-10-18 13:53:38 [ INFO] - HttpTools  -断言数据列表:["code","200"]
2018-10-18 13:53:39 [ INFO] - HttpTools  -响应解析的值:200
2018-10-18 13:53:39 [ INFO] - HttpTools  -断言类型:eq
2018-10-18 13:53:39 [ INFO] - HttpTools  -断言数据列表:["data.size()","8"]
2018-10-18 13:53:39 [ INFO] - HttpTools  -响应解析的值:8
2018-10-18 13:53:39 [ INFO] - HttpTools  -接口名称:app首页
2018-10-18 13:53:40 [ INFO] - HttpTools  -response filter
2018-10-18 13:53:40 [ INFO] - HttpTools  -断言接口状态码
2018-10-18 13:53:40 [ INFO] - HttpTools  -断言类型:eq
2018-10-18 13:53:40 [ INFO] - HttpTools  -断言数据列表:["code","200"]
2018-10-18 13:53:40 [ INFO] - HttpTools  -响应解析的值:200
2018-10-18 13:53:40 [ INFO] - HttpTools  -断言类型:eq
2018-10-18 13:53:40 [ INFO] - HttpTools  -断言数据列表:["data.size()","8"]
2018-10-18 13:53:40 [ INFO] - HttpTools  -响应解析的值:12
2018-10-18 13:54:27 [ INFO] - HttpTools  --f:测试用例路径

2018-10-18 13:54:28 [ INFO] - HttpTools  -接口名称:新闻
2018-10-18 13:54:29 [ INFO] - HttpTools  -response filter
2018-10-18 13:54:29 [ INFO] - HttpTools  -断言接口状态码
2018-10-18 13:54:29 [ INFO] - HttpTools  -断言类型:eq
2018-10-18 13:54:29 [ INFO] - HttpTools  -断言数据列表:["code","200"]
2018-10-18 13:54:29 [ INFO] - HttpTools  -响应解析的值:200
2018-10-18 13:54:29 [ INFO] - HttpTools  -断言类型:eq
2018-10-18 13:54:29 [ INFO] - HttpTools  -断言数据列表:["data.size()","8"]
2018-10-18 13:54:33 [ INFO] - HttpTools  --f:测试用例路径

2018-10-18 13:54:34 [ INFO] - HttpTools  -接口名称:新闻
2018-10-18 13:54:35 [ INFO] - HttpTools  -response filter
2018-10-18 13:54:35 [ INFO] - HttpTools  -断言接口状态码
2018-10-18 13:54:35 [ INFO] - HttpTools  -断言类型:eq
2018-10-18 13:54:35 [ INFO] - HttpTools  -断言数据列表:["code","200"]
2018-10-18 13:54:35 [ INFO] - HttpTools  -响应解析的值:200
2018-10-18 13:54:35 [ INFO] - HttpTools  -断言类型:eq
2018-10-18 13:54:35 [ INFO] - HttpTools  -断言数据列表:["data.size()","8"]
2018-10-18 13:54:35 [ INFO] - HttpTools  -响应解析的值:8
2018-10-18 13:54:35 [ INFO] - HttpTools  -接口名称:app首页
2018-10-18 13:54:40 [ INFO] - HttpTools  -response filter
2018-10-18 13:54:40 [ INFO] - HttpTools  -断言接口状态码
2018-10-18 13:54:40 [ INFO] - HttpTools  -断言类型:eq
2018-10-18 13:54:40 [ INFO] - HttpTools  -断言数据列表:["code","200"]
2018-10-18 13:54:40 [ INFO] - HttpTools  -响应解析的值:200
2018-10-18 13:54:40 [ INFO] - HttpTools  -断言类型:eq
2018-10-18 13:54:40 [ INFO] - HttpTools  -断言数据列表:["data.size()","8"]
2018-10-18 13:54:40 [ INFO] - HttpTools  -响应解析的值:12
2018-10-18 13:55:08 [ INFO] - HttpTools  --f:测试用例路径

2018-10-18 13:55:09 [ INFO] - HttpTools  -接口名称:app首页
2018-10-18 13:55:12 [ INFO] - HttpTools  -response filter
2018-10-18 13:55:12 [ INFO] - HttpTools  -断言接口状态码
2018-10-18 13:55:12 [ INFO] - HttpTools  -断言类型:eq
2018-10-18 13:55:12 [ INFO] - HttpTools  -断言数据列表:["code","200"]
2018-10-18 13:55:12 [ INFO] - HttpTools  -响应解析的值:200
2018-10-18 13:55:12 [ INFO] - HttpTools  -断言类型:eq
2018-10-18 13:55:12 [ INFO] - HttpTools  -断言数据列表:["data.size()","8"]
2018-10-18 13:55:12 [ INFO] - HttpTools  -响应解析的值:12
2018-10-18 13:55:36 [ INFO] - HttpTools  --f:测试用例路径

2018-10-18 13:55:37 [ INFO] - HttpTools  -接口名称:app首页
2018-10-18 13:55:39 [ INFO] - HttpTools  -response filter
2018-10-18 13:55:39 [ INFO] - HttpTools  -断言接口状态码
2018-10-18 13:55:39 [ INFO] - HttpTools  -断言类型:eq
2018-10-18 13:55:39 [ INFO] - HttpTools  -断言数据列表:["code","200"]
2018-10-18 13:55:39 [ INFO] - HttpTools  -响应解析的值:200
2018-10-18 13:55:39 [ INFO] - HttpTools  -断言类型:eq
2018-10-18 13:55:39 [ INFO] - HttpTools  -断言数据列表:["data.size()","8"]
2018-10-18 13:55:39 [ INFO] - HttpTools  -响应解析的值:12
2018-10-18 13:58:25 [ INFO] - HttpTools  --f:测试用例路径

2018-10-18 13:58:25 [ INFO] - HttpTools  -接口名称:app首页
2018-10-18 13:58:29 [ INFO] - HttpTools  -response filter
2018-10-18 13:58:29 [ INFO] - HttpTools  -断言接口状态码
2018-10-18 13:58:29 [ INFO] - HttpTools  -断言类型:eq
2018-10-18 13:58:29 [ INFO] - HttpTools  -断言数据列表:["code","200"]
2018-10-18 13:58:30 [ INFO] - HttpTools  -响应解析的值:200
2018-10-18 13:58:30 [ INFO] - HttpTools  -断言类型:eq
2018-10-18 13:58:30 [ INFO] - HttpTools  -断言数据列表:["data.size()","8"]
2018-10-18 13:58:30 [ INFO] - HttpTools  -响应解析的值:12
2018-10-18 14:02:09 [ INFO] - HttpTools  --f:测试用例路径

2018-10-18 14:02:09 [ INFO] - HttpTools  -接口名称:app首页
2018-10-18 14:02:11 [ INFO] - HttpTools  -response filter
2018-10-18 14:02:11 [ INFO] - HttpTools  -断言接口状态码
2018-10-18 14:02:11 [ INFO] - HttpTools  -断言类型:eq
2018-10-18 14:02:11 [ INFO] - HttpTools  -断言数据列表:["code","200"]
2018-10-18 14:02:11 [ INFO] - HttpTools  -响应解析的值:200
2018-10-18 14:02:11 [ INFO] - HttpTools  -断言类型:eq
2018-10-18 14:02:11 [ INFO] - HttpTools  -断言数据列表:["data.size()","8"]
2018-10-18 14:02:11 [ INFO] - HttpTools  -响应解析的值:12
2018-10-18 14:11:40 [ INFO] - HttpTools  --f:测试用例路径

2018-10-18 14:13:46 [ INFO] - HttpTools  --f:测试用例路径

2018-10-18 14:13:47 [ INFO] - HttpTools  -接口名称:app首页
2018-10-18 14:13:51 [ INFO] - HttpTools  -response filter
2018-10-18 14:13:51 [ INFO] - HttpTools  -实际值:200
2018-10-18 14:13:51 [ INFO] - HttpTools  -预期值:200
2018-10-18 14:13:51 [ INFO] - HttpTools  -断言接口状态码
2018-10-18 14:13:51 [ INFO] - HttpTools  -断言类型:eq
2018-10-18 14:13:51 [ INFO] - HttpTools  -断言数据列表:["code","200"]
2018-10-18 14:13:51 [ INFO] - HttpTools  -响应解析的值:200
2018-10-18 14:13:51 [ INFO] - HttpTools  -实际值:200
2018-10-18 14:13:51 [ INFO] - HttpTools  -预期值:200
2018-10-18 14:13:51 [ INFO] - HttpTools  -断言类型:eq
2018-10-18 14:13:51 [ INFO] - HttpTools  -断言数据列表:["data.size()","8"]
2018-10-18 14:13:51 [ INFO] - HttpTools  -响应解析的值:12
2018-10-18 14:13:51 [ INFO] - HttpTools  -实际值:12
2018-10-18 14:13:51 [ INFO] - HttpTools  -预期值:8
2018-10-18 14:15:33 [ INFO] - HttpTools  --f:测试用例路径

2018-10-18 14:15:34 [ INFO] - HttpTools  -接口名称:app首页
2018-10-18 14:15:37 [ INFO] - HttpTools  -response filter
2018-10-18 14:15:37 [ INFO] - HttpTools  -实际值:200
2018-10-18 14:15:37 [ INFO] - HttpTools  -预期值:200
2018-10-18 14:15:37 [ INFO] - HttpTools  -断言接口状态码
2018-10-18 14:15:37 [ INFO] - HttpTools  -断言类型:eq
2018-10-18 14:15:37 [ INFO] - HttpTools  -断言数据列表:["code","200"]
2018-10-18 14:15:37 [ INFO] - HttpTools  -响应解析的值:200
2018-10-18 14:15:37 [ INFO] - HttpTools  -实际值:200
2018-10-18 14:15:37 [ INFO] - HttpTools  -预期值:200
2018-10-18 14:15:37 [ INFO] - HttpTools  -断言类型:eq
2018-10-18 14:15:37 [ INFO] - HttpTools  -断言数据列表:["data.size()","8"]
2018-10-18 14:15:37 [ INFO] - HttpTools  -响应解析的值:12
2018-10-18 14:15:37 [ INFO] - HttpTools  -实际值:12
2018-10-18 14:15:37 [ INFO] - HttpTools  -预期值:8
