2018-10-16 23:23:34 [ INFO] - HttpTools  -响应解析的值:io.restassured.path.xml.XmlPath@1b822fcc
2018-10-16 23:23:55 [ INFO] - HttpTools  -用户中心
2018-10-16 23:23:57 [ INFO] - HttpTools  -断言接口状态码
2018-10-16 23:23:57 [ INFO] - HttpTools  -断言类型:eq
2018-10-16 23:23:57 [ INFO] - HttpTools  -断言数据列表:["hasnew","false"]
2018-10-16 23:23:57 [ INFO] - HttpTools  -响应解析的值:false
2018-10-16 23:25:42 [ INFO] - HttpTools  -用户中心
2018-10-16 23:25:43 [ INFO] - HttpTools  -断言接口状态码
2018-10-16 23:25:43 [ INFO] - HttpTools  -断言类型:eq
2018-10-16 23:25:43 [ INFO] - HttpTools  -断言数据列表:["hasnew","false"]
2018-10-16 23:25:43 [ INFO] - HttpTools  -响应解析的值:false
2018-10-16 23:25:43 [ INFO] - HttpTools  -获取天气
2018-10-16 23:25:44 [ INFO] - HttpTools  -断言接口状态码
2018-10-16 23:25:44 [ INFO] - HttpTools  -断言类型:eq
2018-10-16 23:25:44 [ INFO] - HttpTools  -断言数据列表:["infocode","000000"]
2018-10-16 23:25:44 [ INFO] - HttpTools  -响应解析的值:io.restassured.path.xml.XmlPath@d2387c8
2018-10-16 23:28:05 [ INFO] - HttpTools  -用户中心
2018-10-16 23:28:08 [ INFO] - HttpTools  -断言接口状态码
2018-10-16 23:28:08 [ INFO] - HttpTools  -断言类型:eq
2018-10-16 23:28:08 [ INFO] - HttpTools  -断言数据列表:["code","200"]
2018-10-16 23:28:08 [ INFO] - HttpTools  -响应解析的值:io.restassured.path.xml.XmlPath@7689ddef
2018-10-16 23:28:42 [ INFO] - HttpTools  -用户中心
2018-10-16 23:28:43 [ INFO] - HttpTools  -断言接口状态码
2018-10-16 23:28:43 [ INFO] - HttpTools  -断言类型:eq
2018-10-16 23:28:43 [ INFO] - HttpTools  -断言数据列表:["head_info","200"]
2018-10-16 23:28:43 [ INFO] - HttpTools  -响应解析的值:io.restassured.path.xml.XmlPath@7689ddef
2018-10-16 23:33:11 [ INFO] - HttpTools  -用户中心
2018-10-16 23:33:12 [ INFO] - HttpTools  -断言接口状态码
2018-10-16 23:33:12 [ INFO] - HttpTools  -断言类型:eq
2018-10-16 23:33:12 [ INFO] - HttpTools  -断言数据列表:["head_info","200"]
2018-10-16 23:33:34 [ INFO] - HttpTools  -用户中心
2018-10-16 23:33:35 [ INFO] - HttpTools  -断言接口状态码
2018-10-16 23:33:35 [ INFO] - HttpTools  -断言类型:eq
2018-10-16 23:33:35 [ INFO] - HttpTools  -断言数据列表:["head_info","200"]
2018-10-16 23:35:05 [ INFO] - HttpTools  -获取天气
2018-10-16 23:35:07 [ INFO] - HttpTools  -断言接口状态码
2018-10-16 23:35:07 [ INFO] - HttpTools  -断言类型:eq
2018-10-16 23:35:07 [ INFO] - HttpTools  -断言数据列表:["infocode","000000"]
2018-10-16 23:35:08 [ INFO] - HttpTools  -响应解析的值:000000
2018-10-16 23:35:47 [ INFO] - HttpTools  -获取天气
2018-10-16 23:35:48 [ INFO] - HttpTools  -断言接口状态码
2018-10-16 23:35:48 [ INFO] - HttpTools  -断言类型:eq
2018-10-16 23:35:48 [ INFO] - HttpTools  -断言数据列表:["infocode","000000"]
2018-10-16 23:35:48 [ INFO] - HttpTools  -响应解析的值:000000
2018-10-16 23:35:48 [ INFO] - HttpTools  -用户中心
2018-10-16 23:35:48 [ INFO] - HttpTools  -断言接口状态码
2018-10-16 23:35:48 [ INFO] - HttpTools  -断言类型:eq
2018-10-16 23:35:48 [ INFO] - HttpTools  -断言数据列表:["code","200"]
2018-10-16 23:41:17 [ INFO] - HttpTools  -获取天气
2018-10-16 23:41:19 [ INFO] - HttpTools  -断言接口状态码
2018-10-16 23:41:19 [ INFO] - HttpTools  -断言类型:eq
2018-10-16 23:41:19 [ INFO] - HttpTools  -断言数据列表:["infocode","000000"]
